loc,alpha,k,clip_factor,jump_penalty,rep,model,bac,sd,mad,d_med,cdist_mad,kurt,secs,error
0.0012,1.4,2.75,20,0.3,9,kmeans,0.717467152093632,0.005009036087158835,0.004229793075364683,0.0023908140065107457,0.5652319070725735,5.823645499155111,0.5,
0.0008,1.1,4.0,8,0.03,4,jump,0.5038897579978738,0.004274776215572519,0.0036460127311829893,0.001610610061224602,0.4417455944269349,2.242314520437599,37.9,
0.0008,1.1,4.0,8,0.03,4,kmeans,0.5070355502996775,0.004274776215572519,0.0036460127311829893,0.001610610061224602,0.4417455944269349,2.242314520437599,0.4,
0.0005,1.1,2.75,8,3,1,jump,0.5044414436314888,0.004645493238188986,0.003659004271242223,0.000949743694931617,0.2595634288803881,2.8236720551968375,38.0,
0.0005,1.1,2.75,8,3,1,kmeans,0.5024908535119061,0.004645493238188986,0.003659004271242223,0.000949743694931617,0.2595634288803881,2.8236720551968375,0.4,
0.0005,1.1,4.0,12,0.03,5,jump,0.5205367909479046,0.004284947007612821,0.0035803617658188977,0.0010150414595280445,0.2835024854802305,3.58035408723965,38.0,
0.0005,1.1,4.0,12,0.03,5,kmeans,0.5180286483398749,0.004284947007612821,0.0035803617658188977,0.0010150414595280445,0.2835024854802305,3.58035408723965,0.4,
0.0005,0.8,4.0,8,0.3,6,jump,0.5058441593767681,0.0036235265725126893,0.0026945297312468463,0.0010172679441796209,0.3775307922503041,4.631426319913683,38.2,
0.0005,0.8,4.0,8,0.3,6,kmeans,0.5047716354461879,0.0036235265725126893,0.0026945297312468463,0.0010172679441796209,0.3775307922503041,4.631426319913683,0.4,
0.0014,1.6,6.0,12,0.3,5,jump,0.7605626564562269,0.0044516850178753075,0.004365523122163122,0.0027923140145847377,0.6396287309551902,0.39325646802015113,38.2,
0.0014,1.6,6.0,12,0.3,5,kmeans,0.7575045756141857,0.0044516850178753075,0.004365523122163122,0.0027923140145847377,0.6396287309551902,0.39325646802015113,0.4,
0.0008,1.6,4.0,20,0.3,4,jump,0.6711414472771834,0.004446674833197661,0.004189649619563522,0.0016298851531471896,0.38902660154120267,0.9636145903680191,38.3,
0.0008,1.6,4.0,20,0.3,4,kmeans,0.6696353352377287,0.004446674833197661,0.004189649619563522,0.0016298851531471896,0.38902660154120267,0.9636145903680191,0.4,
0.0005,1.6,2.0,12,3,5,jump,0.509624119218284,0.004852808921214293,0.004219716102748211,0.001001685289358286,0.2373821520139494,3.3230485315461413,38.2,
0.0005,1.6,2.0,12,3,5,kmeans,0.5125438749848708,0.004852808921214293,0.004219716102748211,0.001001685289358286,0.2373821520139494,3.3230485315461413,0.4,
0.001,1.4,4.0,8,0.3,6,jump,0.6959696269159185,0.00446163937223778,0.004116221769430687,0.002010575882123307,0.4884517877668648,1.156005395151686,38.4,
0.001,1.4,4.0,8,0.3,6,kmeans,0.6945708496220004,0.00446163937223778,0.004116221769430687,0.002010575882123307,0.4884517877668648,1.156005395151686,0.4,
0.002,1.6,6.0,12,100,2,jump,0.8109704993383304,0.004652459156500738,0.00459149611521282,0.0040042586207214076,0.8721032361225916,0.278090254038601,35.6,
0.002,1.6,6.0,12,100,2,kmeans,0.8265919394159418,0.004652459156500738,0.00459149611521282,0.0040042586207214076,0.8721032361225916,0.278090254038601,0.4,
