loc,alpha,k,clip_factor,rep,model,bac,sd,mad,d_med,cdist_mad,kurt,secs,error
0.0011,0.8,2.0,12,2,vae,0.511478363557051,0.0059956338304194235,0.0033979709554498297,0.00220710432020962,0.6495359581192888,7.580290449443778,945.1,
0.0011,0.8,2.0,12,2,jump,0.5272443418275109,0.0059956338304194235,0.0033979709554498297,0.00220710432020962,0.6495359581192888,7.580290449443778,34.2,
0.0011,0.8,2.0,12,2,kmeans,0.502515240561664,0.0059956338304194235,0.0033979709554498297,0.00220710432020962,0.6495359581192888,7.580290449443778,0.6,
0.002,0.8,2.75,20,3,vae,0.8089637998357573,0.0054499872482121885,0.0038924438380866203,0.004018404610956593,1.032360331480567,13.855279335566987,956.3,
0.002,0.8,2.75,20,3,jump,0.8121591154304917,0.0054499872482121885,0.0038924438380866203,0.004018404610956593,1.032360331480567,13.855279335566987,33.4,
0.002,0.8,2.75,20,3,kmeans,0.8216076558830319,0.0054499872482121885,0.0038924438380866203,0.004018404610956593,1.032360331480567,13.855279335566987,0.4,
0.0012,0.8,4.0,8,0,vae,0.7487819453937585,0.003801055344320472,0.0030156254658230894,0.0023975491367716293,0.7950420779847204,3.88296905782558,957.7,
0.0012,0.8,4.0,8,0,jump,0.777569690930833,0.003801055344320472,0.0030156254658230894,0.0023975491367716293,0.7950420779847204,3.88296905782558,33.2,
0.0012,0.8,4.0,8,0,kmeans,0.7628167355893454,0.003801055344320472,0.0030156254658230894,0.0023975491367716293,0.7950420779847204,3.88296905782558,0.4,
0.002,0.8,2.75,12,5,vae,0.7254942079576623,0.005080595250612012,0.0038933130186989376,0.004005043021683788,1.028697924479288,6.340498942958037,957.3,
0.002,0.8,2.75,12,5,jump,0.7925138677292082,0.005080595250612012,0.0038933130186989376,0.004005043021683788,1.028697924479288,6.340498942958037,33.7,
0.002,0.8,2.75,12,5,kmeans,0.8192856534482968,0.005080595250612012,0.0038933130186989376,0.004005043021683788,1.028697924479288,6.340498942958037,0.3,
0.001,0.8,4.0,12,3,vae,0.7383350426423291,0.0038032444317497066,0.002897558164024199,0.0019823497367303057,0.6841449332555142,6.500990579075232,958.4,
0.001,0.8,4.0,12,3,jump,0.5009859287344128,0.0038032444317497066,0.002897558164024199,0.0019823497367303057,0.6841449332555142,6.500990579075232,34.9,
0.001,0.8,4.0,12,3,kmeans,0.7380167278213803,0.0038032444317497066,0.002897558164024199,0.0019823497367303057,0.6841449332555142,6.500990579075232,0.6,
0.0011,1.1,6.0,20,3,vae,0.7365734255733962,0.003993620520245323,0.0036381215192315096,0.002187928008505335,0.6013894799664352,1.9133213262340467,962.7,
0.0011,1.1,6.0,20,3,jump,0.7571640462758809,0.003993620520245323,0.0036381215192315096,0.002187928008505335,0.6013894799664352,1.9133213262340467,32.9,
0.0011,1.1,6.0,20,3,kmeans,0.740510671267534,0.003993620520245323,0.0036381215192315096,0.002187928008505335,0.6013894799664352,1.9133213262340467,0.6,
0.0014,1.1,2.0,8,0,vae,0.7134636464478014,0.005312808148802576,0.0041439361234810665,0.0027813352961633996,0.6711819905725213,2.6323961336264974,965.8,
0.0014,1.1,2.0,8,0,jump,0.7408090692720766,0.005312808148802576,0.0041439361234810665,0.0027813352961633996,0.6711819905725213,2.6323961336264974,34.0,
0.0014,1.1,2.0,8,0,kmeans,0.7323582000363967,0.005312808148802576,0.0041439361234810665,0.0027813352961633996,0.6711819905725213,2.6323961336264974,0.6,
0.0008,0.8,2.75,20,3,vae,0.5571629767476962,0.005127042111138946,0.002997747552462891,0.001618404610956593,0.5398735492676637,17.693048689788824,967.1,
0.0008,0.8,2.75,20,3,jump,0.5052181258669637,0.005127042111138946,0.002997747552462891,0.001618404610956593,0.5398735492676637,17.693048689788824,34.1,
0.0008,0.8,2.75,20,3,kmeans,0.5118565611288033,0.005127042111138946,0.002997747552462891,0.001618404610956593,0.5398735492676637,17.693048689788824,0.5,
0.0014,0.8,2.75,12,0,vae,0.7523602710731163,0.004923929942716789,0.003362825011575157,0.0028127809457652907,0.8364339316150667,7.968640094112654,967.3,
0.0014,0.8,2.75,12,0,jump,0.7622272824443803,0.004923929942716789,0.003362825011575157,0.0028127809457652907,0.8364339316150667,7.968640094112654,34.0,
0.0014,0.8,2.75,12,0,kmeans,0.7699374574321771,0.004923929942716789,0.003362825011575157,0.0028127809457652907,0.8364339316150667,7.968640094112654,0.5,
0.001,1.6,6.0,12,4,vae,0.7166164792749226,0.004352879762564442,0.004213381696316173,0.0020232304037711016,0.48019157759669495,0.4669352357307699,981.9,
0.001,1.6,6.0,12,4,jump,0.6991323998986767,0.004352879762564442,0.004213381696316173,0.0020232304037711016,0.48019157759669495,0.4669352357307699,34.3,
0.001,1.6,6.0,12,4,kmeans,0.7115910561861449,0.004352879762564442,0.004213381696316173,0.0020232304037711016,0.48019157759669495,0.4669352357307699,0.9,
0.0014,1.6,2.0,8,2,vae,0.7088472334353866,0.004877035192046546,0.004434226688017868,0.002813529734462146,0.634502909394516,1.4355281069219403,986.6,
0.0014,1.6,2.0,8,2,jump,0.7414767342210589,0.004877035192046546,0.004434226688017868,0.002813529734462146,0.634502909394516,1.4355281069219403,35.1,
0.0014,1.6,2.0,8,2,kmeans,0.7397524211309827,0.004877035192046546,0.004434226688017868,0.002813529734462146,0.634502909394516,1.4355281069219403,1.0,
0.0005,1.1,4.0,8,4,vae,0.6103071402736299,0.004228703583465353,0.0035802403852952733,0.001010610061224602,0.28227435939088596,2.3387418478377704,988.8,
0.0005,1.1,4.0,8,4,jump,0.5004093797491563,0.004228703583465353,0.0035802403852952733,0.001010610061224602,0.28227435939088596,2.3387418478377704,34.5,
0.0005,1.1,4.0,8,4,kmeans,0.5055883327511924,0.004228703583465353,0.0035802403852952733,0.001010610061224602,0.28227435939088596,2.3387418478377704,1.0,
0.0011,1.1,2.0,12,0,vae,0.5552442992493397,0.005776868660425086,0.004032549996831426,0.0021803270659867665,0.5406819674151485,5.860930883991109,930.4,
0.0011,1.1,2.0,12,0,jump,0.5110913910328911,0.005776868660425086,0.004032549996831426,0.0021803270659867665,0.5406819674151485,5.860930883991109,34.3,
0.0011,1.1,2.0,12,0,kmeans,0.5105023680617206,0.005776868660425086,0.004032549996831426,0.0021803270659867665,0.5406819674151485,5.860930883991109,0.7,
0.0011,1.6,2.0,8,4,vae,0.6979256731912478,0.004822274692326509,0.004350816125413962,0.00220260818947459,0.506251729786678,1.5021078593932486,912.7,
