loc,alpha,k,rep,sd,mad,d_mean,d_med,cdist,cdist_mad,kurt
0.0005,0.8,2.75,4,0.004724318178807378,0.002857624961256438,0.0009645669262002085,0.000990483859252414,0.3466108648550294,0.3466108648550294,9.084569079774163
0.0005,0.8,2.75,8,0.004753028360898304,0.0028768124891691577,0.000952192521597401,0.0009730317468512843,0.33823259267492345,0.33823259267492345,9.138160004908624
0.0005,0.8,2.75,7,0.004702542979032819,0.0028884682120853275,0.0010094973113860125,0.0010106012725351985,0.34987446574861064,0.34987446574861064,9.119069867801255
0.0005,0.8,2.0,3,0.00587056443996264,0.003138876541872297,0.0009864934590451757,0.000995230718257777,0.3170659008028826,0.3170659008028826,7.718816928396789
0.0005,0.8,2.0,5,0.005896589421199021,0.0031330251380321575,0.0009648588651735594,0.0010209406871225081,0.32586418625538305,0.32586418625538305,7.786725910948366
0.0005,0.8,2.75,5,0.004691470429391294,0.002883438603057509,0.0010208926387247964,0.00101717765957267,0.35276549966907095,0.35276549966907095,8.737770635900537
0.0005,0.8,2.0,7,0.005857219526430817,0.0031166810823610434,0.000993248206818936,0.0009949008514621904,0.3192180480360547,0.3192180480360547,7.660456329945072
0.0005,0.8,2.0,2,0.005901596883105242,0.003106513140119779,0.0009948916273968956,0.0009945691247372434,0.32015609781032356,0.32015609781032356,7.985164618472993
0.0005,0.8,2.0,6,0.005856261385617023,0.0031535611682245884,0.0010149042150149965,0.0010077639826224752,0.3195637975177861,0.3195637975177861,7.687958120549441
0.0005,0.8,2.0,9,0.0058880943544005636,0.003137161339774622,0.0009995446090625536,0.0009859809870358136,0.3142908126958647,0.3142908126958647,7.723556982996007
0.0005,0.8,2.0,1,0.005832454664609724,0.003113831144641543,0.0009596213309562713,0.0009738407156575854,0.31274679660566235,0.31274679660566235,7.75154723528698
0.0005,0.8,2.0,8,0.005804385665649587,0.0031229626614063216,0.0010301779367028667,0.0010106027629232617,0.32360385713614986,0.32360385713614986,7.793407441265849
0.0005,0.8,2.75,9,0.0047050245509992535,0.0029000591727181752,0.0010404090452435968,0.0009967788360432097,0.3437098268270665,0.3437098268270665,8.641038731178668
0.0005,0.8,2.75,3,0.004701286833163046,0.0028677700778323187,0.0010326399036797032,0.0010133404471347153,0.3533548435307882,0.3533548435307882,8.859732022490707
0.0005,0.8,2.0,4,0.0058578140031669765,0.003097114844795502,0.0010394229405044331,0.0010259980577598572,0.3312754318697544,0.3312754318697544,7.870193444683716
0.0005,0.8,2.75,1,0.004752380490167233,0.002884019308678703,0.0009459131020995954,0.0009870012169019512,0.3422311403851662,0.3422311403851662,9.069223693801144
0.0005,0.8,2.75,2,0.004697297432256219,0.002871355429910924,0.0010286340776512332,0.0010141630088521415,0.3532000943831614,0.3532000943831614,8.668413897715268
0.0005,0.8,2.0,0,0.005875535213085369,0.003117480224926312,0.0009793572531826408,0.00101104569006683,0.3243150291645324,0.3243150291645324,7.808078521208259
0.0005,0.8,2.75,0,0.004738519156070621,0.002874737558609154,0.000993749292324874,0.0010135383275527022,0.3525672541889594,0.3525672541889594,9.275645721225542
0.0005,0.8,2.75,6,0.004753022817596916,0.002873482363032309,0.0010146846807890055,0.0010108878597936397,0.35179887400696513,0.35179887400696513,8.962972285349014
0.0005,0.8,4.0,0,0.003752452418623461,0.0026924483223112077,0.0009921264184795755,0.000999611610266957,0.3712649197325677,0.3712649197325677,7.663862760282148
0.0005,0.8,4.0,4,0.0037190627871817477,0.002684050644521974,0.0009807131666216358,0.0010171605642752364,0.378964743586793,0.378964743586793,7.427037571759266
0.0005,0.8,4.0,2,0.003747928409469301,0.0026846641620866412,0.0009605738379984809,0.0009757016410301275,0.3634352686675597,0.3634352686675597,7.859069641201291
0.0005,0.8,4.0,1,0.003741877149293018,0.0026690701893726954,0.000986201806934651,0.000977726315159548,0.3663171987954878,0.3663171987954878,7.504724325114642
0.0005,0.8,4.0,5,0.0037523851668808707,0.0026902771403581197,0.0010090458765700876,0.001018411851663054,0.3785527655814251,0.3785527655814251,7.657552849311957
0.0005,0.8,4.0,3,0.0036968554974223604,0.0026752986952941634,0.0009721288155882388,0.0009875737349675914,0.36914522356129,0.36914522356129,7.246001276809748
0.0005,0.8,4.0,6,0.0037410179209332473,0.0026932329770149774,0.001019432858231678,0.001015049439071714,0.37688883499292947,0.37688883499292947,7.652371184058582
0.0005,0.8,6.0,0,0.003101166487716328,0.0025624368858621596,0.0010022099011248837,0.0010154392137125341,0.39627872175703505,0.39627872175703505,3.8533384209358763
