loc,alpha,k,clip_factor,feature_set,rep,model,bac,sd,mad,d_med,cdist_mad,kurt,secs,error
0.0005,0.8,2.0,10,means,1,kmeans,0.6011417823490266,0.005500161956708429,0.003102788625429976,0.0009649642036041451,0.3109990141434217,5.957664452987629,0.2,
0.0005,0.8,2.0,10,means,2,kmeans,0.5838777028584562,0.0054971062974125745,0.003093214470315914,0.0010006659413067903,0.3235035756200219,5.949211531087959,0.2,
0.0005,0.8,2.0,10,means,3,kmeans,0.6052211341653408,0.005522768272991148,0.00312051197904071,0.0009869948945399661,0.3162926151763668,5.897976122985996,0.2,
0.0005,0.8,2.0,10,means,8,kmeans,0.597812629979374,0.0054670504476792905,0.003110821346539202,0.0010015552536762754,0.3219584611602684,5.881363918904109,0.2,
0.0005,0.8,2.0,10,means,6,kmeans,0.5871862911504855,0.00552205660741382,0.003131530933120677,0.0010024164722236815,0.3201042856136629,5.886671588112737,0.2,
0.0005,0.8,2.0,10,means,7,kmeans,0.5799419623805889,0.005533144617883033,0.0031077127089069235,0.000988752179427215,0.3181607413688471,5.899935849869561,0.2,
0.0005,0.8,2.0,10,means,12,kmeans,0.5817299631853698,0.005520817004551384,0.0031072313696761675,0.0009967422498891709,0.320781471124582,5.993261025510002,0.2,
0.0005,0.8,2.0,10,means,10,kmeans,0.5913220077130978,0.005506521337543643,0.003122757888685922,0.0009531966816322688,0.30524194177390435,5.876975987069487,0.2,
0.0005,0.8,2.0,10,means,11,kmeans,0.5926980350445978,0.005550190990272427,0.003123940604623142,0.0009916160832691987,0.3174247557081268,5.9130271678002195,0.2,
0.0005,0.8,2.0,10,means,14,kmeans,0.6004077109993196,0.005520012779452446,0.003129458481503503,0.0009695605066436465,0.3098173413624696,5.91540854587242,0.2,
0.0005,0.8,2.0,10,means,13,kmeans,0.5873905523963789,0.005546652434391075,0.0031081595749244276,0.0009813922982093326,0.3157470762205619,5.940769032233138,0.2,
0.0005,0.8,2.0,10,means,9,kmeans,0.6121585711010145,0.005539361838455528,0.0031215721420984497,0.0009880632509356915,0.3165274438512494,5.894295171333207,0.2,
0.0005,0.8,2.0,10,means,16,kmeans,0.5685319833311164,0.005516221144262582,0.003093112324821179,0.0009906074001339441,0.32026234294327277,5.882239498019796,0.2,
0.0005,0.8,2.0,10,means,18,kmeans,0.5869409587754129,0.005508244534086265,0.0031104011840195015,0.0009744869602543248,0.313299443576927,6.00721304585567,0.2,
0.0005,0.8,2.0,10,means,17,kmeans,0.5982080085575041,0.005523466861031062,0.003135108941013396,0.0010275641111587457,0.327760256658448,5.838752662097878,0.4,
0.0005,0.8,2.0,10,means_x,0,kmeans,0.59896158647055,0.005511802541422733,0.0031033342939505806,0.0010113495222571218,0.3258912596778809,5.892692766914488,0.2,
0.0005,0.8,2.0,10,means,15,kmeans,0.5813162168385977,0.005507532010335338,0.0031159892503481884,0.0009819014121171077,0.3151170730153795,5.913024931207195,0.6,
0.0005,0.8,2.0,10,means,19,kmeans,0.6039310883356268,0.005557819361997797,0.0031331185549677903,0.000996438191967802,0.3180339889749387,5.924769046570624,0.3,
0.0005,0.8,2.0,10,means_x,3,kmeans,0.6041254085487509,0.005522768272991148,0.00312051197904071,0.0009869948945399661,0.3162926151763668,5.897976122985996,0.3,
0.0005,0.8,2.0,10,means_x,2,kmeans,0.5841340535212423,0.0054971062974125745,0.003093214470315914,0.0010006659413067903,0.3235035756200219,5.949211531087959,0.4,
0.0005,0.8,2.0,10,means_x,4,kmeans,0.5876307900959117,0.005510578403830554,0.0030887920094560973,0.001019038826356729,0.3299150034178477,6.0638944872166665,0.2,
0.0005,0.8,2.0,10,means_x,1,kmeans,0.6009256609838484,0.005500161956708429,0.003102788625429976,0.0009649642036041451,0.3109990141434217,5.957664452987629,0.6,
0.0005,0.8,2.0,10,means_x,6,kmeans,0.5874436616923829,0.00552205660741382,0.003131530933120677,0.0010024164722236815,0.3201042856136629,5.886671588112737,0.4,
0.0005,0.8,2.0,10,means_x,7,kmeans,0.5838628162342117,0.005533144617883033,0.0031077127089069235,0.000988752179427215,0.3181607413688471,5.899935849869561,0.3,
0.0005,0.8,2.0,10,means_x,8,kmeans,0.6002151330674288,0.0054670504476792905,0.003110821346539202,0.0010015552536762754,0.3219584611602684,5.881363918904109,0.4,
0.0005,0.8,2.0,10,means_x,5,kmeans,0.5839275387934595,0.005524445394460403,0.0031177777484684118,0.0009911436820711239,0.3179006850497977,5.85136305090626,0.4,
0.0005,0.8,2.0,10,means_x,11,kmeans,0.592506100409615,0.005550190990272427,0.003123940604623142,0.0009916160832691987,0.3174247557081268,5.9130271678002195,0.3,
0.0005,0.8,2.0,10,means_x,10,kmeans,0.5942789315988097,0.005506521337543643,0.003122757888685922,0.0009531966816322688,0.30524194177390435,5.876975987069487,0.4,
0.0005,0.8,2.0,10,all,19,kmeans,0.5074621986166862,0.005557819361997797,0.0031331185549677903,0.000996438191967802,0.3180339889749387,5.924769046570624,2.7,
0.0005,0.8,2.0,10,means_x,13,kmeans,0.5879267122542957,0.005546652434391075,0.0031081595749244276,0.0009813922982093326,0.3157470762205619,5.940769032233138,0.4,
0.0005,0.8,2.0,10,means_x,15,kmeans,0.5825701632271663,0.005507532010335338,0.0031159892503481884,0.0009819014121171077,0.3151170730153795,5.913024931207195,0.3,
0.0005,0.8,2.0,10,means_x,12,kmeans,0.580978354988053,0.005520817004551384,0.0031072313696761675,0.0009967422498891709,0.320781471124582,5.993261025510002,0.3,
0.0005,0.8,2.0,10,means_x,14,kmeans,0.6000320337211806,0.005520012779452446,0.003129458481503503,0.0009695605066436465,0.3098173413624696,5.91540854587242,0.2,
0.0005,0.8,2.0,10,means_x,18,kmeans,0.5882207109788693,0.005508244534086265,0.0031104011840195015,0.0009744869602543248,0.313299443576927,6.00721304585567,0.2,
0.0005,0.8,2.0,10,means_x,16,kmeans,0.5702253235837178,0.005516221144262582,0.003093112324821179,0.0009906074001339441,0.32026234294327277,5.882239498019796,0.2,
0.0005,0.8,2.0,10,means_x,19,kmeans,0.6042543074800606,0.005557819361997797,0.0031331185549677903,0.000996438191967802,0.3180339889749387,5.924769046570624,0.2,
0.0005,0.8,2.0,10,means_x,9,kmeans,0.6138381024547546,0.005539361838455528,0.0031215721420984497,0.0009880632509356915,0.3165274438512494,5.894295171333207,0.2,
0.0005,0.8,2.0,10,means_x,17,kmeans,0.6002838967441249,0.005523466861031062,0.003135108941013396,0.0010275641111587457,0.327760256658448,5.838752662097878,0.2,
0.0005,0.8,2.0,10,scales,0,kmeans,0.5009442314789598,0.005511802541422733,0.0031033342939505806,0.0010113495222571218,0.3258912596778809,5.892692766914488,0.2,
0.0005,0.8,2.0,10,scales,1,kmeans,0.5045027652298953,0.005500161956708429,0.003102788625429976,0.0009649642036041451,0.3109990141434217,5.957664452987629,0.2,
0.0005,0.8,2.0,10,scales,2,kmeans,0.5060630239321986,0.0054971062974125745,0.003093214470315914,0.0010006659413067903,0.3235035756200219,5.949211531087959,0.2,
0.0005,0.8,2.0,10,scales,4,kmeans,0.5059166150064123,0.005510578403830554,0.0030887920094560973,0.001019038826356729,0.3299150034178477,6.0638944872166665,0.2,
0.0005,0.8,2.0,10,scales,3,kmeans,0.5111518542153771,0.005522768272991148,0.00312051197904071,0.0009869948945399661,0.3162926151763668,5.897976122985996,0.2,
0.0005,0.8,2.0,10,scales,5,kmeans,0.5004656864157732,0.005524445394460403,0.0031177777484684118,0.0009911436820711239,0.3179006850497977,5.85136305090626,0.2,
0.0005,0.8,2.0,10,scales,6,kmeans,0.5001825674779639,0.00552205660741382,0.003131530933120677,0.0010024164722236815,0.3201042856136629,5.886671588112737,0.2,
0.0005,0.8,2.0,10,scales,8,kmeans,0.5046277444726244,0.0054670504476792905,0.003110821346539202,0.0010015552536762754,0.3219584611602684,5.881363918904109,0.2,
0.0005,0.8,2.0,10,scales,7,kmeans,0.5047677780420262,0.005533144617883033,0.0031077127089069235,0.000988752179427215,0.3181607413688471,5.899935849869561,0.2,
0.0005,0.8,2.0,10,scales,10,kmeans,0.5000538352772326,0.005506521337543643,0.003122757888685922,0.0009531966816322688,0.30524194177390435,5.876975987069487,0.2,
0.0005,0.8,2.0,10,scales,9,kmeans,0.5102084224588176,0.005539361838455528,0.0031215721420984497,0.0009880632509356915,0.3165274438512494,5.894295171333207,0.2,
0.0005,0.8,2.0,10,scales,12,kmeans,0.5059342173959779,0.005520817004551384,0.0031072313696761675,0.0009967422498891709,0.320781471124582,5.993261025510002,0.2,
0.0005,0.8,2.0,10,scales,11,kmeans,0.5021068934786239,0.005550190990272427,0.003123940604623142,0.0009916160832691987,0.3174247557081268,5.9130271678002195,0.2,
0.0005,0.8,2.0,10,scales,13,kmeans,0.5003824764301535,0.005546652434391075,0.0031081595749244276,0.0009813922982093326,0.3157470762205619,5.940769032233138,0.2,
0.0005,0.8,2.0,10,scales,14,kmeans,0.5002702735819827,0.005520012779452446,0.003129458481503503,0.0009695605066436465,0.3098173413624696,5.91540854587242,0.2,
0.0005,0.8,2.0,10,scales,16,kmeans,0.5058646864166991,0.005516221144262582,0.003093112324821179,0.0009906074001339441,0.32026234294327277,5.882239498019796,0.2,
